27/02/2008;RTL2 POP ROCK TOUR
01/03/2008;ANACHRONICKS + VEGASTAR
07/03/2008;Battle régionale + DJ JOS + MISSILL
08/03/2008;MORNING VIEW + ZËRO
11/03/2008;BRUIT DE LUNE
13/03/2008;BRISA ROCHE
15/03/2008;PREMIERS PAS SUR LA LUNE #3
19/03/2008;FESTIVAL DU JAZZ: CaRoLiNe
20/03/2008;FESTIVAL DU JAZZ: TARA FUKI
21/03/2008;FESTIVAL DU JAZZ: CONSTANCE VERLUCA
22/03/2008;FESTIVAL DU JAZZ: ROCKINGCHAIR
27/03/2008;JI MOB + invités
03/04/2008;TRIBAL JAZE
05/04/2008;TRIO D'VIE + RAGEOUS GRATOONS
08/04/2008;BRUITS DE LUNE HORS LES MURS
11/04/2008;MOLLY'S + invités surprises
21/04/2008;WITNESS THEATER + LA PHAZE
22/04/2008;PROMISE AND THE MONSTER + MORIARTY
26/04/2008;TU SERAS TERRIBLEMENT GENTILLE + GORE GORE GIRLS
30/04/2008;MELODIE EN SOUS-SOL : DOM DAZIN
02/05/2008;TURNSTEAK + SIBOT & SPOEK ARE PLAYDOE + DALEK
05/05/2008;KIM NOVAK + KILL THE YOUNG
10/05/2008;PREMIERS PAS SUR LA LUNE
15/05/2008;SLEEPING VILLAGE + TREPONEM PAL
16/05/2008;CITADELLE DELUXE + FANCY
23/05/2008;DJ REACTER + LIQUID WICKED + TAIWAN MC
24/05/2008;MUSIQUE EN HERBE: MORGLBL TRIO
30/05/2008;KWOON + ROKEN IS DODELIJK + CURRY AND COCO
12/06/2008;CONCERT & LIMONADE : TY TOM
13/06/2008;CONCERT & LIMONADE > WILD BILLY BOY 
19/06/2008;LOSS + LAYERS
24/06/2008;BRUITS DE LUNE
26/09/2008;PETER NIGHT SOUL DELIVERANCE + FRENCH COWBOY
27/09/2008;SHOW NO MERCY : CATHARTIC + AKER + ASHURA + ULTRA VOMIT
03/10/2008;BEFORE NUIT BLANCHE
04/10/2008;NUIT BLANCHE
11/10/2008;DJ RHYTHM X + DIALOKOLECTIV': sortie d'album
14/10/2008;BRUITS DE LUNE
16/10/2008;JOHN MAKAY + COURGE + MARVIN
18/10/2008;FÊTE DE VALENCE
27/10/2008;SON LUX + WHY ?
31/10/2008;GREG HOWE
04/11/2008;BRUITS DE LUNE
06/11/2008;THE BEYONDERS + PONI HOAX
08/11/2008;WILLIAM BALDE
13/11/2008;MARCUS MALONE BAND
22/11/2008;SICKBAG + DYLATH LEEN + DSK
27/11/2008;Sheraff + BLOOD RED SHOES + B Side en warm up
03/12/2008;LUTTE CONTRE LE SIDA: DURBANS + REDFISH DUB SYNDROM
13/12/2008;LE PERE NOEL EST UN TRASHER
18/12/2008;ECOUTE TA MERE ET MANGE TON SHORT
19/12/2008;ECOUTE TA MERE ET MANGE TON SHORT
09/01/2009;TENDANCE DIGITALE: RAFALE + DON RIMINI
10/01/2009;TENDANCE: SONS AND DAUGHTERS + NEW YOUNG PONY CLUB + AFTER 
13/01/2009;BRUIT DE LUNE
15/01/2009;NATHANIEL ISAAC SMOG + SPLEEN
24/01/2009;THE NAME + WE ARE ENFANT TERRIBLE + MINITEL ROSE
31/01/2009;OBDURATED + OVERLOAD + O-NIRIK + SYBREED
06/02/2009;PREMIERS PAS SUR LA LUNE - PATCH TOUR #3
07/02/2009;LEOPOLD STOTCH BAND + PANTA REI: sortie d'album
12/02/2009;JIL IS LUCKY + BENSE
14/02/2009;PROLIFIK SCRATCH BATTLE + BEAT TORRENT
17/02/2009;BRUIT DE LUNE
20/02/2009;I'M UN CHIEN + STUCK IN THE SOUND
27/02/2009;THOMAS DARMON + MOLLY'S
06/03/2009;CITE CARTER: DYING PROCESS + DON'T YOU DARE
10/03/2009;BRUIT DE LUNE
13/03/2009;BEATBOX : IN FLAGRANTI + GARDNER + Guest
20/03/2009;TREMPLIN MUSIQUES DE RU 2009 
21/03/2009;SAMMY DECOSTER + ALISTER
26/03/2009;FESTIVAL DE JAZZ: SOCALLED
27/03/2009;FESTIVAL DE JAZZ: SOCALLED
27/03/2009;FESTIVAL DE JAZZ: SOCALLED
28/03/2009;FESTIVAL DE JAZZ: SOCALLED
03/04/2009;C++ + FELIPECHA
04/04/2009;ADRUGAN + QUIDAM
10/04/2009;MOTIONLESS invite BABEL FISHH + EDISON + THE BEASTMASTER
14/04/2009;BRUITS DE LUNE
16/04/2009;IMPERIAL LEISURE + YOUNG BLOOD BRASS BAND
18/04/2009;8 UNEVEN + TYS + KEBELU > Sortie d'album
22/04/2009;LES FEMMES S'EN MELENT: LE CORPS MINCE DE FRANCOISE + SOLD OUT
23/04/2009;LES FEMMES S'EN MELENT: LUCY AND THE POPSONICS + THE BABOON SHOW
07/05/2009;SHOCKING CLUB #1 : TUNGSTENE + DOLBY ANOL + HUORATRON
12/05/2009;SEMAINE ROSE > BRUIT DE LUNE
13/05/2009;SEMAINE ROSE > DUKE SPECIAL + BELL X1
14/05/2009;SEMAINE ROSE > BATTLE 45 TOURS
